epoch,state,net,range
1742299200,S1,5.20,16.20
1742320800,S1,-2.30,6.90
1742342400,S2,13.10,17.40
1742364000,S4,-4.60,20.20
1742385600,S3,-8.20,15.30
1742407200,S4,20.70,24.10
1742428800,S1,-4.30,12.00
1742450400,S3,-13.00,26.40
1742472000,S1,6.30,13.30
1742493600,S5,5.30,6.40
1742515200,S3,-18.70,28.10
1742536800,S2,6.00,12.30
1742558400,S6,-21.50,41.30
1742774400,S1,-3.50,12.30
1742796000,S1,3.40,16.20
1742817600,S3,-16.70,24.30
1742839200,S1,1.00,12.70
1742860800,S2,8.10,14.60
1742882400,S1,2.30,16.30
1742904000,S1,3.20,23.60
1742925600,S5,-2.80,5.50
1742947200,S1,0.90,12.90
1742968800,S1,6.80,13.80
1742990400,S4,-8.30,18.00
1743012000,S1,0.40,7.50
1743033600,S2,11.40,19.00
1743055200,S4,26.50,31.30
1743076800,S6,3.50,30.70
1743098400,S5,2.60,3.60
1743120000,S4,18.70,21.40
1743141600,S6,25.70,48.00
1743163200,S6,-1.40,50.10
1743379200,S2,25.80,66.40
1743400800,S1,2.50,41.60
1743422400,S1,-1.10,58.00
1743444000,S1,5.40,35.10
1743465600,S1,5.60,44.60
1743487200,S1,-1.50,39.00
1743508800,S1,-12.90,64.00
1743530400,S5,0.00,36.70
1743552000,S5,0.40,40.80
1743573600,S5,9.90,45.00
1743595200,S1,10.10,51.90
1743616800,S1,20.70,78.00
1743638400,S5,-34.10,65.70
1743660000,S3,-40.90,71.70
1743681600,S4,42.90,107.50
1743703200,S1,2.80,43.30
1743724800,S1,-4.80,47.00
1743746400,S1,3.20,82.70
1743768000,S3,-88.90,123.30
1743984000,S1,32.20,119.40
1744005600,S1,23.40,57.50
1744027200,S3,-63.50,106.60
1744048800,S5,11.10,43.50
1744070400,S5,25.30,31.10
1744092000,S1,13.60,40.50
1744113600,S3,-34.60,62.80
1744135200,S5,-7.80,41.60
1744156800,S2,40.10,52.00
1744178400,S2,52.20,60.80
1744200000,S1,-8.70,60.20
1744221600,S1,25.10,64.30
1744243200,S2,38.00,55.60
1744264800,S1,3.20,39.90
1744286400,S4,37.30,77.10
1744308000,S2,29.40,46.00
1744329600,S1,6.00,58.10
1744351200,S2,15.90,60.30
1744372800,S1,20.70,49.00
1744588800,S5,9.50,32.80
1744610400,S3,-10.60,53.00
1744632000,S1,-9.80,49.90
1744653600,S5,-0.70,36.00
1744675200,S5,11.40,33.00
1744696800,S5,-4.00,33.70
1744718400,S5,7.70,30.50
1744740000,S2,25.20,27.50
1744761600,S2,38.10,40.10
1744783200,S2,15.90,31.40
1744804800,S2,20.90,36.60
1744826400,S2,20.10,29.80
1744848000,S3,-21.70,36.00
1744869600,S1,-1.40,21.80
1744891200,S4,-8.70,59.40
1745193600,S2,34.80,36.40
1745215200,S2,18.80,24.00
1745236800,S2,18.20,31.90
1745258400,S2,11.20,27.70
1745280000,S4,58.30,81.00
1745301600,S4,-35.20,55.80
1745323200,S3,-54.30,93.40
1745344800,S3,-68.00,98.80
1745366400,S4,-17.00,71.30
1745388000,S1,6.10,49.80
1745409600,S3,-41.30,74.90
1745431200,S2,33.20,38.40
1745452800,S1,6.70,52.90
1745474400,S2,14.30,30.80
1745496000,S1,0.70,39.80
1745517600,S1,11.20,38.90
1745539200,S4,-55.90,78.30
1745560800,S1,0.10,27.80
1745582400,S1,0.60,38.80
1745798400,S4,-8.60,48.60
1745820000,S1,-0.20,26.00
1745841600,S4,40.80,54.70
1745863200,S1,1.70,21.20
1745884800,S3,-28.00,36.00
1745906400,S1,-1.40,19.10
1745928000,S1,5.30,31.30
1745949600,S1,3.00,14.40
1745971200,S1,-7.30,26.90
1745992800,S3,-38.10,47.60
1746014400,S2,34.30,54.50
1746036000,S3,-34.20,39.60
1746057600,S4,-36.90,56.70
1746079200,S3,-31.90,40.80
1746100800,S1,9.00,32.20
1746122400,S2,24.20,32.70
1746144000,S1,13.80,32.90
1746165600,S1,9.90,22.40
1746187200,S4,-31.50,43.70
1746403200,S1,12.60,32.60
1746424800,S2,54.00,62.70
1746446400,S1,3.60,23.90
1746468000,S2,17.40,25.50
1746489600,S4,26.50,62.90
1746511200,S2,17.40,27.00
1746532800,S2,34.90,45.30
1746554400,S6,-13.00,64.30
1746576000,S1,-13.30,43.30
1746597600,S1,-1.20,28.90
1746619200,S1,-1.30,23.30
1746640800,S1,-10.50,35.30
1746662400,S4,-22.20,61.70
1746684000,S1,-11.00,42.60
1746705600,S4,-36.60,73.30
1746727200,S5,7.30,35.70
1746748800,S4,4.50,57.00
1746770400,S2,12.00,23.10
1746792000,S1,8.20,28.00
1747008000,S1,-13.00,33.10
1747029600,S4,-51.30,74.00
1747051200,S1,-1.10,29.40
1747072800,S2,14.20,22.80
1747094400,S2,19.90,45.50
1747116000,S1,-7.80,18.60
1747137600,S1,-1.10,32.60
1747159200,S5,6.40,11.00
1747180800,S3,-21.20,33.30
1747202400,S1,-13.50,25.20
1747224000,S4,-38.30,48.80
1747245600,S1,3.00,19.40
1747267200,S3,-56.50,69.20
1747288800,S4,50.00,60.00
1747310400,S2,42.30,52.00
1747332000,S2,16.70,32.70
1747353600,S3,-19.20,38.70
